StartupID,Industry,Age,Location,Funding,EmployeeCount,ProductCount,Patents,Partnerships,AnnualRevenue,ProfitMargin,MarketShare,CustomerSatisfaction,SuccessScore
68,Tech,16,Europe,104.9164868,117,7,5,7,14.7867546,29.0862501,49.53562793,64.09996763,58.28878868
69,Education,15,North America,23.39638994,16,9,5,2,60.51540958,37.47472454,12.38085436,60.93971758,55.38925139
70,Health,15,Asia,172.0978688,130,7,11,6,63.42045437,29.45607916,25.32281885,76.0967482,75.62504514
71,Health,5,North America,144.7014535,57,5,2,6,77.66970676,13.8904862,42.22011716,57.76716513,40.94415882
72,Health,14,Europe,13.9998382,335,8,11,9,106.6356758,-9.22058205,11.96116068,83.33066933,55.57313492
73,Tech,2,North America,141.7131019,393,2,12,5,136.0090384,-14.01418654,20.76068783,80.2671814,79.68292467
74,Health,11,Europe,108.9358744,287,9,13,6,21.52238073,-16.72928661,30.75456437,54.35410248,41.92376178
75,Tech,19,Europe,16.80420648,144,6,7,1,9.097866654,19.99154991,24.05940757,51.82601897,44.99210899
76,Health,7,Asia,91.93097798,405,9,11,8,3.761153806,28.45217532,22.97511333,81.01443263,57.60376869
77,Education,6,Europe,97.19690928,394,2,6,9,22.39958533,10.52103704,18.12548657,64.7146887,92.66828792
78,Education,2,Europe,33.57202076,101,3,6,9,99.03447338,-16.71714951,29.33231639,54.32228766,85.89316961
79,Finance,6,Asia,189.1667803,9,8,5,0,109.3940846,12.12823448,31.2186349,87.97143525,41.32939776
80,Education,18,Europe,170.0700866,61,1,4,0,118.1893513,36.14495569,32.66447705,65.70220015,70.102769
81,Finance,2,Asia,133.9699563,416,7,9,2,37.31252357,15.85679146,3.518405395,72.97997748,56.48124964
82,Education,18,Asia,92.72796442,338,7,7,2,46.57832718,28.56564931,31.55170879,61.84064637,78.91873954
83,Tech,15,Europe,82.64722555,73,1,4,0,72.98706219,28.0091589,47.66185894,81.36585392,83.29323296
84,Education,19,Europe,130.3692067,122,9,8,6,10.41428143,35.92774599,27.04931178,65.07442077,91.77175463
85,Finance,2,North America,109.3136579,380,8,8,3,92.06008696,26.21372594,35.76335413,98.40104806,68.52497423
86,Finance,20,Asia,12.92348462,63,4,0,9,147.57652,24.86203084,27.83661539,85.14737743,99.66700531
87,Health,6,North America,102.7442784,37,5,5,1,54.7601404,-5.953840102,42.73703093,56.83611382,98.79916644
88,Tech,1,Europe,161.3775216,322,2,6,9,113.1742738,-16.40449068,46.47915473,70.83474198,92.93000347
89,Education,15,North America,92.11835558,54,9,2,4,75.50505342,11.0559679,9.210994965,69.27105499,74.49216971
90,Health,10,Asia,10.86533722,372,6,6,5,20.04396481,-12.53394752,21.84300183,76.71235554,63.88038625
91,Education,19,North America,157.3625008,493,3,10,8,87.75337987,37.73175258,19.61910505,92.09653372,61.86317861
92,Education,17,Asia,40.67207454,23,7,10,3,45.681266,-2.604514242,20.26075616,79.17110076,40.72748501
93,Health,5,Europe,52.09485656,218,9,6,1,6.12607806,31.1766522,6.276209061,53.07783388,54.95046983
94,Health,4,Europe,33.35891751,201,3,13,4,95.60452979,3.257477512,40.6807863,82.77078484,83.1284941
95,Health,10,Asia,66.37790544,383,2,12,2,128.98092,-0.608345009,1.788312151,50.4132649,76.21792599
96,Health,17,Europe,151.4719254,454,7,10,1,52.37069527,36.10951434,26.41133039,88.99802303,94.98533135
97,Health,10,Europe,104.117479,482,7,1,0,59.15403653,1.799354325,33.0939194,83.33180362,43.00133601
98,Education,17,Europe,41.37381419,51,4,6,9,133.7622308,3.41727452,10.3734719,65.43928292,49.31659619
99,Health,20,Europe,175.6271006,171,9,14,1,122.2277132,-13.63449322,45.2925096,64.62209023,87.35462736
100,Tech,5,Asia,175.9765801,456,8,0,5,107.5279707,20.22679992,41.92746035,89.91364983,61.51045787
101,Finance,2,North America,174.1803958,293,1,4,7,38.0707625,-2.669635131,23.55418647,89.1668346,47.10072002
102,Health,6,North America,48.13984417,145,1,8,2,136.6222816,15.13625007,20.55744662,67.61511772,99.78703031
103,Health,2,Europe,90.52224916,88,5,6,8,24.00794787,15.48110224,11.82839626,64.9473864,87.23501816
104,Education,13,North America,197.0054364,186,6,6,8,94.38880739,23.15198174,36.49966123,77.99123944,64.52446221
105,Health,11,North America,154.516489,395,3,10,1,5.291375901,24.71448917,6.587189982,50.418283,89.40084862
106,Health,11,Europe,5.919900534,83,9,12,7,96.91425114,10.86714606,34.01188769,54.1333519,80.83623221
107,Health,16,Europe,13.50831596,219,6,11,9,42.29450843,-0.140483144,42.12284931,56.30847951,87.39848557
108,Education,11,North America,93.05430967,18,4,1,4,68.0018696,30.24705369,11.4235788,59.27059089,88.91238265
109,Health,19,Asia,181.8894311,219,7,7,3,52.44441826,-1.408061035,43.32137014,75.60090633,45.083721
110,Finance,15,Europe,107.9710087,407,8,2,9,26.74075668,10.45054567,1.666159972,99.61209574,77.37837326
111,Education,16,Asia,99.81359535,132,9,14,4,93.67513772,4.075154992,45.63936927,82.63067009,40.40713318
112,Finance,11,North America,21.54200314,314,6,7,3,132.4143577,31.30470316,5.918111393,53.06493972,42.60737478
113,Education,16,Europe,131.5276309,481,6,2,7,143.9035521,5.915111869,32.2879589,76.2789687,94.23880054
114,Health,8,Asia,164.5095805,252,8,9,3,29.65960811,3.16595133,12.50412345,74.83226062,71.65382328
115,Finance,4,Europe,76.3937915,408,5,6,9,107.8885433,21.38942157,41.82761956,57.20839079,84.15411915
116,Education,8,North America,155.2345643,33,3,1,5,99.98656562,16.14646659,25.61501805,96.01361844,90.31005943
117,Tech,4,Asia,192.9130925,284,3,3,1,52.16329065,-13.56518999,6.762059562,72.03826238,96.97520605
118,Health,3,North America,41.1514086,342,6,10,4,3.845780704,10.49012838,28.54957857,99.72795703,92.16117088
119,Education,3,North America,104.9042614,323,2,5,5,103.7788958,24.1287033,20.39413051,71.00361476,68.99868692
120,Tech,18,Europe,57.78402264,206,6,10,4,141.8787342,39.52448588,33.07239083,80.39788513,60.15821844
121,Education,19,Asia,158.6744566,365,6,8,1,95.18589817,17.74881004,44.09516424,55.23812682,49.26959417
122,Tech,19,North America,115.7298765,61,8,4,6,65.8586159,2.217583986,20.46945656,72.71139119,64.01928895
123,Health,5,North America,127.0991923,396,7,12,3,79.24793022,-6.430904012,14.49403398,61.9382947,61.98961475
124,Finance,18,Asia,159.6838748,222,8,8,7,30.74469234,32.36981405,0.725754726,91.77823993,73.57449052
125,Tech,10,North America,79.4961093,66,9,14,6,112.8310804,28.87391273,28.74195189,89.19597924,79.93056453
126,Education,6,North America,183.0604686,161,6,4,6,112.2165547,-5.964630753,20.11373837,91.20899998,98.69952859
127,Health,1,Asia,106.839259,206,3,9,8,22.68207776,-7.962074591,18.73246095,86.18047189,83.70317117
128,Tech,5,Asia,32.01198716,21,3,7,0,131.818779,22.90820661,9.146766064,91.63416118,78.62491195
129,Education,9,Asia,139.3318741,326,1,12,9,41.10927118,-1.102876285,21.50276726,60.04143751,60.10554606
130,Education,12,Asia,158.7556394,10,5,12,5,147.3561531,-1.616072098,49.22209768,72.60218883,42.07023259
131,Education,14,Europe,63.69395457,62,4,0,5,58.05254909,-10.86258518,14.88770768,84.592344,57.28750773
132,Tech,2,Asia,171.5072618,329,9,6,5,27.50472475,-4.161468817,29.98522067,81.8696249,86.10687403
133,Tech,17,Europe,181.2755793,416,9,3,5,53.40629659,5.650453456,38.82434407,85.81772414,52.31631645
134,Tech,14,Europe,55.74244523,322,5,4,9,66.58686898,23.97030024,37.45789116,61.21291916,82.73129162
135,Finance,13,Europe,196.7125338,173,4,5,6,11.32685818,0.178485665,16.43871437,54.92173545,74.78679055
136,Tech,9,North America,28.57194985,457,7,4,9,87.1545388,-0.283739631,30.54300418,95.8403289,50.31141219
137,Tech,15,Europe,40.80212585,86,6,11,5,90.04723354,-2.905204847,43.56323426,78.00859478,55.69748838
138,Tech,15,Europe,37.25285543,478,4,0,0,111.1006378,8.697020051,0.772371387,57.69129623,69.77821621
139,Finance,11,North America,178.8509471,472,2,11,2,5.346313951,-9.161798124,21.78671784,89.67182909,65.10248231
140,Tech,16,North America,131.0313642,429,1,8,1,81.64449395,9.137844042,11.21367091,95.74649683,86.71383085
141,Education,17,North America,30.8448045,437,4,1,5,8.883207557,22.25053337,19.43161452,58.47817593,84.06427855
142,Tech,4,Asia,88.34452196,223,4,8,7,105.4704888,-18.21256976,20.7994804,90.87062276,74.47447021
143,Education,1,North America,123.251956,181,1,9,2,9.303469869,-19.41323718,37.33354824,96.66125307,89.33648269
144,Education,8,North America,17.15108496,208,6,1,9,136.8474494,-15.49262539,4.69109362,96.91808001,73.76017244
145,Education,17,Europe,176.5420655,75,4,8,7,105.6103025,12.1396037,25.62919516,95.70782308,97.8633554
146,Finance,3,North America,160.8189053,391,1,5,7,76.601075,31.26730499,28.20973959,77.32105062,53.03344595
147,Finance,20,Asia,101.2887513,270,1,10,4,66.78408457,-19.70693204,24.70788018,67.81056586,82.84791962
148,Finance,15,North America,193.4417597,102,1,8,7,20.47022193,36.19967828,36.59366265,50.36364038,62.19664792
149,Tech,15,Asia,83.84331537,349,8,12,5,44.35890905,-13.62328931,19.1895628,53.04561134,56.73797167
150,Education,14,North America,196.8300086,295,8,5,4,130.4749066,30.51901168,47.24835318,71.44195076,50.82324856
151,Finance,14,North America,133.7500398,212,2,5,8,135.7634689,8.971285899,24.09017213,69.96630732,73.15020858
152,Finance,2,North America,127.116919,6,7,12,6,1.111408547,19.56144324,28.56069548,59.23569548,52.92816596
153,Tech,13,North America,33.60800161,128,8,10,7,89.52632233,10.64097907,41.27654117,69.7740014,52.02105109
154,Finance,14,Asia,176.4445878,284,8,13,0,108.1757907,8.622893511,13.7618053,58.73250327,99.43191431
155,Tech,19,Asia,85.78419274,78,7,1,1,93.19330039,30.0939657,3.760101438,92.43956264,88.10484501
156,Health,7,Europe,32.86556445,170,5,7,7,13.17028497,25.35318277,35.38919892,64.90974389,84.89660922
157,Finance,3,Asia,3.015200235,26,1,2,8,33.44100992,9.004134191,24.15059278,79.92821751,87.64363755
158,Health,15,North America,112.1712589,158,9,6,3,38.30069984,-13.30184424,44.82521255,75.1421531,98.13537242
159,Tech,14,Europe,105.7162246,431,7,4,9,124.9269701,-13.07582244,49.13400244,52.59410388,74.39660133
160,Education,11,Europe,144.0110477,443,2,2,9,70.01671601,28.09236764,19.95546753,97.11168597,53.21463264
161,Finance,15,Europe,178.1064816,299,6,0,8,73.53740358,11.76343728,20.77195081,76.36129891,91.73257845
162,Tech,13,North America,16.34161364,223,2,7,3,140.2990639,8.895348413,20.39813011,66.25288217,84.56384377
163,Education,18,Asia,146.4335498,161,1,2,9,95.92579744,20.83401048,16.22770549,57.90632848,64.85849874
164,Education,6,North America,37.88868285,499,7,1,9,134.9014875,31.530495,39.08435489,66.92633174,68.41416991
165,Health,3,Europe,171.7063221,234,2,0,9,69.01981945,17.73238866,37.94978812,51.02558015,64.67514391
166,Tech,19,North America,163.903171,24,2,3,8,23.26600252,25.77087414,23.93224353,68.17790777,95.79652961
167,Education,15,North America,108.3883541,479,5,12,6,139.5604035,25.91623145,2.233060819,76.57429637,60.61189669
168,Finance,5,Asia,142.1934383,45,5,7,1,69.34706223,1.375686928,15.47796508,93.59331229,97.80905672
169,Finance,10,Asia,63.21284758,442,7,12,8,28.06308186,-3.555008262,14.61515233,84.36872088,94.61630628
170,Health,7,Europe,94.49799584,152,1,2,3,46.05696531,28.06984403,40.55436231,55.57911566,77.83126853
171,Education,17,North America,164.4165611,112,8,13,7,8.569585864,2.630727507,4.378778671,57.38731622,74.78930639
172,Tech,7,North America,92.12340684,407,3,0,6,70.77678813,34.20016039,40.28376895,71.40616839,62.2053568
173,Finance,12,Asia,71.88075393,88,4,3,6,128.1160976,-15.8185582,33.45918261,59.78538758,41.10030334
174,Education,17,North America,99.09538323,487,9,8,7,140.1034879,-16.50694928,36.62207296,51.39248888,47.65739117
175,Education,13,North America,165.7357259,371,4,12,0,139.9577289,35.62024961,21.61065938,90.25074401,85.2538794
176,Health,20,North America,67.37400545,326,5,0,4,19.65927382,18.90729485,33.9862898,50.97612853,68.2924076
177,Finance,4,Asia,35.16543783,418,7,11,1,57.92602849,2.775961387,30.45144724,91.53448026,48.99028805
178,Finance,10,Europe,142.5467971,313,4,13,1,5.206085188,25.30362489,38.44900976,57.20519815,55.83765125
179,Tech,3,Europe,165.2826534,294,1,10,0,128.4196364,20.3396086,22.33849172,98.73392054,96.87021399
180,Finance,9,North America,20.57717697,410,9,1,4,54.45460854,11.87206281,23.64128124,80.19369559,62.02797012
181,Tech,13,Europe,48.35488549,327,4,8,1,95.03643716,-14.06759944,32.17881114,86.74914858,94.46091671
182,Finance,18,Asia,28.82341196,138,9,1,3,107.5198673,28.73077524,5.403874683,55.5241814,58.27814994
183,Health,15,Asia,69.91431161,211,6,12,2,65.04685579,31.96139144,21.81222242,93.10520367,72.59320566
184,Finance,4,Europe,90.34502029,287,1,2,2,46.65990815,-9.669878687,48.59754226,91.95961714,41.228625
185,Tech,15,Europe,149.8908542,270,3,6,1,144.3697236,31.03069912,1.877616003,82.64963658,71.31250662
186,Tech,2,North America,130.4039432,77,2,2,5,144.7087455,32.67083866,15.80023614,75.11374323,78.21652064
187,Health,15,Europe,124.3752492,485,9,8,1,44.12601884,12.96571674,15.70549095,86.07445866,54.05830596
188,Finance,8,North America,70.79880185,356,1,5,7,72.46413941,19.37074217,31.67320596,50.29641077,74.73623057
189,Finance,8,North America,168.3687868,52,9,2,7,145.9537796,2.934239201,5.290017971,79.62203777,78.83006632
190,Health,17,Asia,94.5217899,330,9,8,4,1.725392741,-3.092501149,31.42720154,92.37030675,81.2131647
191,Finance,12,Asia,195.8314351,237,8,0,9,62.48905901,23.31898882,4.752012033,67.84499436,86.58419932
192,Finance,19,Asia,127.0113566,447,8,9,6,15.9681749,31.71250894,4.747682371,55.41446782,58.68035458
193,Tech,10,Asia,25.68981594,104,1,2,3,76.86453687,19.24465318,36.40916786,71.04386249,74.06661739
194,Finance,9,Europe,135.3974236,63,8,0,0,4.675823227,10.69543664,16.20675869,86.35522245,98.89474179
195,Finance,5,Asia,65.35825108,262,3,1,1,61.62786628,-10.46451399,48.87114739,55.36506052,93.88865024
196,Health,6,Europe,137.4222757,417,7,11,9,33.88416214,-16.79247724,1.867646822,60.30242801,97.15992569
197,Health,20,Asia,14.39340906,456,1,7,9,80.46294601,6.741507415,22.25533319,57.37759234,63.16818391
198,Education,2,Europe,35.38884672,69,1,6,3,149.4030537,-17.03902618,5.656796884,89.84738778,87.21568635
199,Tech,13,North America,171.2195832,87,5,1,0,120.2798797,14.16007791,17.56894834,53.14463112,77.19387711
200,Finance,6,Europe,45.82232163,158,5,1,7,127.0006717,2.963751479,49.91112253,84.32932511,44.96410498
201,Finance,5,Europe,167.4897045,477,8,8,8,95.65448312,25.43134718,44.44212559,68.32284604,89.43882335
202,Education,1,Asia,56.21557965,270,7,12,3,7.192417393,-1.66109019,2.416220443,87.78956214,80.62607658
203,Finance,6,Europe,128.7549411,313,8,12,9,31.81285373,15.57896206,28.16279219,98.21917094,51.93504157
204,Tech,6,North America,138.9830394,83,6,5,2,138.8346189,12.26101131,32.39111524,55.72726498,44.78431345
205,Education,16,North America,102.7746233,319,6,4,1,55.55085457,-19.71725447,10.4767312,65.71925205,90.22132784
206,Tech,4,Asia,61.40948,154,2,9,4,16.44187225,-15.6566361,7.25527867,90.50627139,44.73410977
207,Education,11,North America,42.92255309,439,6,5,2,105.6583995,-2.577907251,45.21905673,63.3079193,45.48123192
208,Education,9,Europe,7.121276235,52,5,8,9,45.61920087,32.93410486,48.44082207,60.75602985,65.64449727
209,Health,3,North America,61.13730705,409,3,10,6,41.05968002,-11.17910271,49.59464287,91.26889889,48.08786971
210,Tech,19,Asia,130.8059767,383,6,6,5,149.6986409,22.65365983,39.48808869,99.3541182,94.82017585
211,Finance,8,Europe,187.6918113,252,8,14,0,128.8626998,38.40199397,33.17510347,77.84402951,68.21703618
212,Finance,5,Asia,174.3052942,282,9,9,7,61.78273494,27.43405316,17.28651261,63.90243742,74.14905884
213,Tech,4,Europe,153.3299229,360,1,9,1,147.05892,-5.423278299,8.569915616,69.92829808,95.68636537
214,Finance,6,North America,157.795245,102,3,13,4,97.86687029,34.50191562,3.949029968,58.50651637,71.81579354
215,Finance,2,Asia,133.1644882,418,3,8,8,111.5613453,-14.41357061,34.66487343,88.09436394,61.21546876
216,Tech,20,Asia,52.42722808,29,8,3,7,5.695443419,8.088516512,39.23617076,88.67370089,87.82930635
217,Education,11,Europe,181.4854086,497,1,1,1,19.11918364,33.25251446,41.32268262,93.75604962,66.57101185
218,Tech,4,Asia,134.3110962,288,5,11,8,95.32968385,18.47594256,45.68825017,51.33012818,59.10816554
219,Education,15,Europe,112.3079059,453,3,7,4,134.9545734,4.818673884,43.99647818,78.09906708,83.39376752
220,Finance,6,Europe,22.64239911,373,2,3,9,93.93781519,-2.431227996,49.98706361,60.71277172,88.0963406
221,Finance,17,Europe,89.68758099,305,8,12,5,20.96970925,2.505964319,12.20320055,67.04415077,87.50297006
222,Finance,6,Europe,92.3414751,72,3,8,2,18.24824689,10.53650686,38.16538076,89.24778076,98.66046485
223,Health,19,North America,172.9804401,11,7,14,2,126.7836985,-0.857364208,29.32297562,59.60168262,87.20001693
224,Education,2,Europe,109.5563199,309,1,14,9,21.75604847,38.13807172,13.06225662,81.91708753,86.19600616
225,Health,15,Asia,76.38990952,141,6,3,7,78.51456212,35.98465918,49.09526611,82.72830956,91.44911522
226,Health,11,North America,195.3716655,168,3,14,9,6.529884674,32.24028809,44.89490524,97.70469575,40.01111172
227,Tech,8,Asia,22.58875837,87,8,7,9,13.01979534,5.309790131,6.425783422,88.75804643,61.74588467
228,Health,19,North America,84.79841145,389,6,8,1,101.1798919,21.47810616,1.307917116,90.18175736,84.25618576
229,Tech,13,Europe,8.883922697,142,2,12,1,103.6880302,34.16975842,34.41653812,76.58003745,75.98314067
230,Tech,12,North America,148.1108721,424,6,8,4,51.87894158,31.02576926,30.20653144,59.33904036,50.65432016
231,Health,5,North America,183.6562722,77,7,9,5,33.12585502,4.859620841,46.79078121,71.27816829,58.22398535
232,Education,6,Asia,56.36744725,241,5,3,1,122.2428303,-13.25683704,11.70026436,77.47447868,60.20755666
233,Education,4,Asia,171.7391645,50,3,0,4,33.34838119,-15.46217817,4.219397395,83.92096259,74.06968667
234,Education,19,Europe,58.79753698,110,4,14,6,81.76203338,14.62384271,12.96076669,80.38545559,89.89589779
235,Education,20,North America,182.1986472,420,4,2,9,145.2631173,18.55767611,0.946382026,69.69889145,95.94950679
236,Education,1,North America,150.9153998,292,6,8,9,23.03001324,30.99055628,1.794637559,63.26565535,85.00554477
237,Health,20,North America,161.078902,266,1,3,7,141.1905639,-2.44909878,45.7428903,58.41154216,90.57702341
238,Health,17,Europe,4.092307842,180,4,4,6,28.25106491,-9.951770567,17.60082913,84.69226931,68.20575751
239,Finance,12,Europe,192.5806662,170,4,6,7,85.549038,2.740349991,20.54045005,82.26993372,63.38651918
240,Education,15,Europe,145.4708629,149,1,4,8,57.17414908,1.214507418,0.918582727,84.36862329,63.56251193
241,Health,1,Europe,61.29784353,334,9,3,4,144.7743616,-12.05186276,13.52608901,68.62637264,76.9623117
242,Finance,14,Europe,165.9642356,374,4,14,4,41.75776232,20.33695915,40.23629919,63.12039113,47.45420233
243,Education,6,Asia,56.66347908,287,7,1,9,60.54904231,10.52151644,30.77454798,87.98606643,74.76965097
244,Tech,5,North America,174.614391,58,3,14,3,147.4461576,23.26736537,37.68903005,88.68236975,79.90797161
245,Finance,11,North America,22.95978789,182,3,1,8,80.93408829,1.16146721,22.36068704,72.7808187,66.33452441
246,Health,4,North America,140.8853525,423,8,12,4,75.89188723,-0.457867305,15.48646109,80.59520424,97.19003061
247,Tech,13,North America,108.3693461,248,8,12,1,39.40899474,8.354551183,24.14050467,68.67598321,76.49279634
248,Tech,11,North America,19.7586268,345,1,3,9,105.5031705,32.64444072,16.15355342,85.09736001,53.19996833
249,Tech,3,North America,48.75781874,131,2,9,7,3.141569815,-17.5831216,41.94855483,91.78607983,68.75297545
